,Vehicle Full Code,Vehicle Code,OEM Model Name,SIAM Company Code,SIAM Segment 1,SIAM Segment 2,SIAM Fuel,Production Qty,Domestic Sale,Export Sale,Category Name,YrMth
17564,MMKUF2U1DI,KU,KUV100,MAHINDRA & MAHINDRA LTD,SUV,UV1,DIESEL,56,124,40,Utility vehicles PV,01-03-2019
17565,MMKUF2U1PT,KU,KUV100,MAHINDRA & MAHINDRA LTD,SUV,UV1,PETROL,831,314,771,Utility vehicles PV,01-03-2019
17566,MMBOF1U1DI,BO,Bolero,MAHINDRA & MAHINDRA LTD,MPV,UV1,DIESEL,7894,8019,69,Utility vehicles PV,01-03-2019
17567,MMQOF2U1DI,QO,Quanto,MAHINDRA & MAHINDRA LTD,SUV,UV1,DIESEL,0,0,0,Utility vehicles PV,01-03-2019
17568,MMTHF1U1DI,TH,Thar,MAHINDRA & MAHINDRA LTD,MPV,UV1,DIESEL,791,592,21,Utility vehicles PV,01-03-2019
17569,MMTTF2U1DI,TT,TUV300,MAHINDRA & MAHINDRA LTD,SUV,UV1,DIESEL,1179,1187,6,Utility vehicles PV,01-03-2019
17570,RIAHF2U1DI,AH,CAPTUR,RENAULT INDIA PVT LTD,SUV,UV1,DIESEL,72,227,0,Passenger car PV,01-03-2019
17571,NMTOF2U1PT,TO,TERRANO,NISSAN MOTOR INDIA PVT LTD,SUV,UV1,PETROL,0,0,0,Utility vehicles PV,01-03-2019
17572,NMTOF2U1DI,TO,TERRANO,NISSAN MOTOR INDIA PVT LTD,SUV,UV1,DIESEL,0,27,0,Utility vehicles PV,01-03-2019
17573,MMX3F2U1PT,X3,XUV300,MAHINDRA & MAHINDRA LTD,SUV,UV1,PETROL,1035,1217,1,Passenger car PV,01-03-2019
17574,MMX3F2U1DI,X3,XUV300,MAHINDRA & MAHINDRA LTD,SUV,UV1,DIESEL,3589,3525,1,Passenger car PV,01-03-2019
17575,MSERF1U1PT,ER,Ertiga,MARUTI SUZUKI INDIA LTD,MPV,UV1,PETROL,6182,6023,273,Utility vehicles PV,01-03-2019
17576,MSERF1U1DI,ER,Ertiga,MARUTI SUZUKI INDIA LTD,MPV,UV1,DIESEL,2736,2932,0,Utility vehicles PV,01-03-2019
17577,MSGYF1U1PT,GY,Gypsy,MARUTI SUZUKI INDIA LTD,MPV,UV1,PETROL,0,3,0,Utility vehicles PV,01-03-2019
17578,HYN2BBCTDI,N2,Elite i20,HYUNDAI MOTOR INDIA LTD,B+,Compact:,DIESEL,1107,1270,7,Passenger car PV,01-05-2019
17579,HYN2BBCTPT,N2,Elite i20,HYUNDAI MOTOR INDIA LTD,B+,Compact:,PETROL,7277,7688,532,Passenger car PV,01-05-2019
17580,TKAYCCMSPT,AY,YARIS,TOYOTA KIRLOSKAR MOTOR PVT LTD,C+,Mid-Size,PETROL,150,373,0,Passenger car PV,01-05-2019
17581,VIVOCCMSPT,VO,Vento,VOLKSWAGEN INDIA PVT LTD,C+,Mid-Size,PETROL,5386,231,5731,Passenger car PV,01-05-2019
17582,VIVOCCMSDI,VO,Vento,VOLKSWAGEN INDIA PVT LTD,C+,Mid-Size,DIESEL,393,423,0,Passenger car PV,01-05-2019
17583,FALACCEEPT,LA,Linea,FIAT INDIA AUTOMOBILES PVT LTD,C+,Executive,PETROL,0,14,0,Passenger car PV,01-05-2019
